 400.000000 
 0.000000 10.000000 0.000000 5.000000 
 2 
 Poly1 
 4 9.000000 72.098194 1.000000 720.000000 
 0.000000  0.000000 
 10.000000  0.000000 
 10.000000  5.000000 
 0.000000  5.000000 
 Poly2 
 73 50.000000 27.815661 1.000000 50.000000 
 0.000000  2.193750 
 0.210938  2.031250 
 0.320313  1.931250 
 0.445313  2.043750 
 0.601563  2.181250 
 0.679688  2.031250 
 0.835938  2.006250 
 0.867188  2.106250 
 1.023438  2.131250 
 1.101563  2.031250 
 1.304688  1.918750 
 1.382813  2.043750 
 1.632813  1.956250 
 1.710938  1.968750 
 1.726563  2.081250 
 1.914063  2.093750 
 2.070313  1.981250 
 2.101563  1.956250 
 2.210938  2.081250 
 2.351563  2.031250 
 2.445313  1.968750 
 2.539063  2.093750 
 2.648438  2.106250 
 2.789063  1.931250 
 2.945313  1.668750 
 3.054688  1.643750 
 3.210938  1.868750 
 3.320313  2.018750 
 3.429688  1.981250 
 3.500977  1.914844 
 3.570313  1.981250 
 3.617188  1.981250 
 3.742188  1.943750 
 3.804688  1.993750 
 3.929688  2.006250 
 4.007813  1.931250 
 4.101563  1.981250 
 4.179688  2.031250 
 4.289063  1.981250 
 4.414063  1.931250 
 4.492188  2.006250 
 4.617188  1.968750 
 4.679688  1.918750 
 5.054688  1.943750 
 5.054688  1.981250 
 5.335938  2.068750 
 5.398438  2.006250 
 5.414063  1.956250 
 5.476563  2.006250 
 5.585938  1.856250 
 5.664063  1.831250 
 5.742188  1.906250 
 5.882813  2.043750 
 5.929688  1.806250 
 6.195313  2.031250 
 6.304688  1.793750 
 6.476563  2.006250 
 6.726563  1.843750 
 6.851563  1.993750 
 7.023438  1.831250 
 7.351563  2.056250 
 7.554688  1.806250 
 7.851563  1.943750 
 8.335938  1.843750 
 8.851563  1.756250 
 9.226563  1.631250 
 9.304688  1.893750 
 9.523438  2.018750 
 9.789063  2.081250 
 9.882813  2.143750 
 10.000000  2.218750 
 10.000000  5.000000 
 0.000000  5.000000 
